cluster,num_localizations,volume_mm3,surface_area_mm2,radius_of_gyration_nm
55,7700,0.7359699553463703,4.944218402917631,634.5846602173579
18,4455,0.1826761236642723,1.827977923727565,293.17760343023593
56,5165,0.1534052163719667,1.487247830890497,227.1135340910717
112,6056,0.4875727919321167,3.6353029994207033,581.2205335431433
286,8129,0.9257748303333518,5.675740666223929,687.3120596339784
266,4187,0.15315786350931515,1.626752687003538,286.4065631643904
289,6622,0.21640156257546608,2.026934682045622,288.40195523116284
344,7506,0.48040719737356635,3.6478320362242704,562.3773386689202
484,3547,0.15131705926812303,1.5945901305513706,301.2155521958032
513,4504,0.1640371871511003,1.5884507589375507,237.88389519630542
517,1992,0.09262465951596344,1.0792395801950483,222.3498972429251
548,3930,0.3663587633730001,3.107038168303917,554.4903945164633
719,2302,0.09432056505063656,1.1725673215517272,248.6551057152693
740,4244,0.1257182876993167,1.3321089601068548,211.52668640902644
753,1614,0.07915799706289667,0.9763615808238977,212.11737129206475
773,3558,0.2817477806774503,2.645974460956891,546.3869934747355
